ORPHAcode_target;DiseaseName_target;n_exact_donors;ORPHAcode_donors;DiseaseName_donors;HPO_ID;HPO_Label;donor_count;Supporting_ORPHAcode_donors;candidate_type;is_selected;is_fully_supported
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000431;Wide nasal bridge;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000463;Anteverted nares;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000486;Strabismus;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000601;Hypotelorism;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000752;Hyperactivity;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001156;Brachydactyly;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001249;Intellectual disability;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001250;Seizure;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001263;Global developmental delay;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001488;Bilateral ptosis;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001511;Intrauterine growth retardation;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001627;Abnormal heart morphology;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001629;Ventricular septal defect;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001636;Tetralogy of Fallot;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001680;Coarctation of aorta;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001719;Double outlet right ventricle;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0001999;Abnormal facial shape;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0002032;Esophageal atresia;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0002079;Hypoplasia of the corpus callosum;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0002836;Bladder exstrophy;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0004383;Hypoplastic left heart;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0004411;Deviated nasal septum;1;2209;single_donor;False;False
